Inserción,Colisiones
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,3
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,1
197,1
198,0
199,0
200,2
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,2
209,0
210,0
211,1
212,0
213,2
214,1
215,0
216,0
217,0
218,3
219,0
220,1
221,0
222,3
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,0
238,3
239,0
240,0
241,2
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,1
253,2
254,0
255,0
256,0
257,0
258,0
259,0
260,5
261,0
262,0
263,2
264,0
265,1
266,0
267,0
268,1
269,1
270,2
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,3
279,0
280,2
281,0
282,0
283,0
284,5
285,2
286,0
287,0
288,0
289,2
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,0
311,2
312,0
313,0
314,0
315,0
316,3
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,4
326,1
327,0
328,1
329,4
330,2
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,2
350,0
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,2
371,0
372,0
373,2
374,0
375,2
376,2
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,5
391,0
392,0
393,3
394,1
395,0
396,0
397,0
398,3
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,11
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,5
423,1
424,0
425,1
426,0
427,0
428,0
429,1
430,2
431,4
432,0
433,0
434,0
435,0
436,1
437,0
438,2
439,0
440,1
441,1
442,1
443,0
444,0
445,4
446,4
447,5
448,1
449,0
450,2
451,0
452,0
453,8
454,6
455,1
456,1
457,1
458,5
459,1
460,9
461,1
462,0
463,3
464,1
465,0
466,1
467,3
468,0
469,1
470,0
471,5
472,1
473,7
474,3
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,7
483,1
484,0
485,0
486,3
487,1
488,0
489,0
490,0
491,1
492,4
493,1
494,2
495,2
496,0
497,0
498,14
499,0
500,0
501,5
502,0
503,0
504,0
505,4
506,1
507,3
508,2
509,1
510,3
511,0
512,1
513,0
514,0
515,6
516,0
517,3
518,0
519,17
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,1
