Inserción,NumElementos
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,2
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,2
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,2
212,0
213,0
214,1
215,0
216,2
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,2
233,0
234,1
235,0
236,0
237,1
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,2
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,2
284,2
285,1
286,1
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,2
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,2
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,2
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,3
370,1
371,0
372,1
373,1
374,0
375,1
376,2
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,2
385,3
386,0
387,1
388,0
389,0
390,0
391,0
392,2
393,0
394,1
395,0
396,1
397,2
398,2
399,1
400,1
401,0
402,0
403,0
404,0
405,2
406,0
407,2
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,3
417,0
418,0
419,4
420,1
421,1
422,0
423,0
424,1
425,1
426,0
427,2
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,4
436,0
437,0
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,1
451,2
452,0
453,0
454,1
455,0
456,2
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,3
475,1
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,0
484,1
485,1
486,0
487,0
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,0
497,2
498,0
499,0
500,0
501,2
502,0
503,2
504,2
505,0
506,2
507,1
508,1
509,2
510,1
511,0
512,0
513,0
514,1
515,1
516,2
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,1
530,0
