Inserción,NumElementos
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,2
143,5
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,2
222,2
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,3
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,2
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,3
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,2
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,2
321,1
322,0
323,0
324,1
325,2
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,7
339,0
340,0
341,0
342,0
343,1
344,2
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,3
354,5
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,3
367,0
368,1
369,3
370,0
371,0
372,1
373,0
374,0
375,10
376,2
377,0
378,0
379,1
380,0
381,0
382,3
383,0
384,9
385,0
386,0
387,2
388,2
389,0
390,0
391,0
392,0
393,2
394,0
395,0
396,0
397,0
398,1
399,0
400,1
401,2
402,1
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,2
413,0
414,1
415,7
416,0
417,0
418,4
419,0
420,2
421,0
422,0
423,0
424,0
425,2
426,4
427,1
428,0
429,1
430,0
431,0
432,1
433,4
434,3
435,0
436,1
437,0
438,3
439,1
440,0
441,0
442,1
443,4
444,1
445,2
446,0
447,2
448,1
449,0
450,11
451,4
452,0
453,1
454,3
455,0
456,2
457,0
458,0
459,0
460,0
461,0
462,3
463,0
464,0
465,0
466,6
467,0
468,2
469,0
470,0
471,3
472,0
473,0
474,2
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,1
483,1
484,1
485,15
486,0
487,0
488,0
489,2
490,0
491,0
492,3
493,1
494,0
495,1
496,8
497,1
498,1
499,7
500,3
501,0
502,0
503,0
504,0
505,2
506,0
507,0
508,0
509,0
510,1
511,0
512,4
513,0
514,4
515,3
516,0
517,3
518,2
519,2
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,1
528,2
529,1
530,6
